index,layer_name,ratio,out_channels_before,out_channels_after,GMACs_before,GMACs_after,MParams_before,MParams_after,mAP_50_95,mAP_50,precision,recall,weights_path
11,model.23.cv2.0.1.conv,0.1,64,58,3.275827,3.251174,2.624080,2.620228,0.391573,0.552547,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_11/yolo11n_pruned_layer11.pt
13,model.23.cv2.1.0.conv,0.1,64,58,3.275827,3.259219,2.624080,2.613700,0.392421,0.552701,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_13/yolo11n_pruned_layer13.pt
14,model.23.cv2.1.1.conv,0.1,64,58,3.275827,3.269664,2.624080,2.620228,0.390690,0.552436,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_14/yolo11n_pruned_layer14.pt
16,model.23.cv2.2.0.conv,0.1,64,58,3.275827,3.268910,2.624080,2.606788,0.391922,0.552917,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_16/yolo11n_pruned_layer16.pt
17,model.23.cv2.2.1.conv,0.1,64,58,3.275827,3.274286,2.624080,2.620228,0.384651,0.551764,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_17/yolo11n_pruned_layer17.pt
19,model.23.cv3.0.0.1.conv,0.1,80,72,3.275827,3.267789,2.624080,2.622824,0.391831,0.551860,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_19/yolo11n_pruned_layer19.pt
20,model.23.cv3.0.1.1.conv,0.1,80,72,3.275827,3.267533,2.624080,2.622784,0.391241,0.550609,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_20/yolo11n_pruned_layer20.pt
22,model.23.cv3.1.0.1.conv,0.1,80,72,3.275827,3.272998,2.624080,2.622312,0.389937,0.549382,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_22/yolo11n_pruned_layer22.pt
23,model.23.cv3.1.1.1.conv,0.1,80,72,3.275827,3.273754,2.624080,2.622784,0.389912,0.549096,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_23/yolo11n_pruned_layer23.pt
25,model.23.cv3.2.0.1.conv,0.1,80,72,3.275827,3.274710,2.624080,2.621288,0.390411,0.550955,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_25/yolo11n_pruned_layer25.pt
26,model.23.cv3.2.1.1.conv,0.1,80,72,3.275827,3.275309,2.624080,2.622784,0.385028,0.547283,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_26/yolo11n_pruned_layer26.pt
28,model.3.conv,0.1,64,58,3.275827,3.251174,2.624080,2.620228,0.386770,0.546722,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_28/yolo11n_pruned_layer28.pt
29,model.4.cv2.conv,0.1,128,116,3.275827,3.241267,2.624080,2.608312,0.363322,0.514319,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_29/yolo11n_pruned_layer29.pt
30,model.5.conv,0.1,128,116,3.275827,3.251213,2.624080,2.608696,0.387409,0.545955,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_30/yolo11n_pruned_layer30.pt
31,model.6.cv2.conv,0.1,128,116,3.275827,3.258586,2.624080,2.592568,0.378170,0.532668,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_31/yolo11n_pruned_layer31.pt
32,model.7.conv,0.1,256,231,3.275827,3.261727,2.624080,2.588830,0.390078,0.548539,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_32/yolo11n_pruned_layer32.pt
33,model.8.cv2.conv,0.1,256,231,3.275827,3.270687,2.624080,2.611230,0.385988,0.544066,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_33/yolo11n_pruned_layer33.pt
34,model.9.cv2.conv,0.1,256,231,3.275827,3.268127,2.624080,2.604830,0.380914,0.537757,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_34/yolo11n_pruned_layer34.pt
